SNR,MCS,PRBs,TBS,m_type,predicted_dec_time,dec_time,p_err
10,1,76,4488,CPU,124.36156463623047,106.83562,16.40458925237712
10,1,76,4488,CPU,124.36156463623047,110.70962,12.33130836889375
10,1,76,4488,CPU,124.36156463623047,103.87362,19.723915115532186
10,1,76,4488,CPU,124.36156463623047,107.63262,15.542634413461704
10,1,76,4488,CPU,124.36156463623047,103.57462,20.069535023377803
10,1,76,4488,CPU,124.36156463623047,103.72962,19.890118787893442
10,1,76,4488,CPU,124.36156463623047,103.40462,20.26693259569106
10,1,76,4488,CPU,124.36156463623047,103.72062,19.90052184052744
10,1,76,4488,CPU,124.36156463623047,104.94862,18.49757017884605
10,1,76,4488,GPU,39.13679885864258,32.25662,21.329509597231763
10,1,76,4488,GPU,39.13679885864258,31.23262,25.307447337567506
10,1,76,4488,GPU,39.13679885864258,32.25662,21.329509597231763
10,1,76,4488,GPU,39.13679885864258,31.23262,25.307447337567506
10,1,76,4488,GPU,39.13679885864258,32.25662,21.329509597231763
10,1,76,4488,GPU,39.13679885864258,32.25662,21.329509597231763
10,1,76,4488,GPU,39.13679885864258,31.23262,25.307447337567506
10,1,76,4488,GPU,39.13679885864258,32.25662,21.329509597231763
10,1,76,4488,GPU,39.13679885864258,32.25662,21.329509597231763
10,1,169,9984,CPU,177.4991455078125,171.33163,3.5997530098864465
10,1,169,9984,CPU,177.4991455078125,168.97963,5.041741130462006
10,1,169,9984,CPU,177.4991455078125,170.31363,4.218990287396558
10,1,169,9984,CPU,177.4991455078125,174.11263,1.9450142748475538
10,1,169,9984,CPU,177.4991455078125,170.95663,3.8270030871645697
10,1,169,9984,CPU,177.4991455078125,171.26863,3.637861473997018
10,1,169,9984,CPU,177.4991455078125,171.64563,3.4102327614239223
10,1,169,9984,CPU,177.4991455078125,173.65963,2.210943042900936
10,1,169,9984,CPU,177.4991455078125,171.36263,3.5810115121438697
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,169,9984,GPU,43.63698959350586,38.06063,14.651254047833302
10,1,250,14600,CPU,219.45587158203125,227.2552,-3.4319691773692096
10,1,250,14600,CPU,219.45587158203125,225.6402,-2.7407919413157513
10,1,250,14600,CPU,219.45587158203125,224.7272,-2.3456566085319266
10,1,250,14600,CPU,219.45587158203125,227.2462,-3.4281446369482693
10,1,250,14600,CPU,219.45587158203125,225.9172,-2.860042713865415
10,1,250,14600,CPU,219.45587158203125,225.4582,-2.6622799339162446
10,1,250,14600,CPU,219.45587158203125,224.5312,-2.2604112114346524
10,1,250,14600,CPU,219.45587158203125,225.6292,-2.7360503064181176
10,1,250,14600,CPU,219.45587158203125,225.5122,-2.685587927379874
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
10,1,250,14600,GPU,47.413230895996094,40.3552,17.48976809926872
11,1,76,4488,CPU,124.19292449951172,107.30262,15.740812758823331
11,1,76,4488,CPU,124.19292449951172,104.59562,18.73625731126382
11,1,76,4488,CPU,124.19292449951172,104.45162,18.899950522080665
11,1,76,4488,CPU,124.19292449951172,106.87862,16.19997011517525
11,1,76,4488,CPU,124.19292449951172,103.15562,20.393755085289314
11,1,76,4488,CPU,124.19292449951172,103.07662,20.48602728680055
11,1,76,4488,CPU,124.19292449951172,104.55662,18.780546367615674
11,1,76,4488,CPU,124.19292449951172,104.00962,19.405228573579752
11,1,76,4488,CPU,124.19292449951172,110.78162,12.106073642461372
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,76,4488,GPU,37.633201599121094,32.25662,16.668149357003603
11,1,155,9216,CPU,169.9051513671875,158.69087,7.066746415334109
11,1,155,9216,CPU,169.9051513671875,157.85087,7.6364997970473745
11,1,155,9216,CPU,169.9051513671875,161.04487,5.501747039311154
11,1,155,9216,CPU,169.9051513671875,156.88687,8.297878189033609
11,1,155,9216,CPU,169.9051513671875,159.57387,6.474293922424455
11,1,155,9216,CPU,169.9051513671875,163.91887,3.65197818114992
11,1,155,9216,CPU,169.9051513671875,165.81687,2.46554006669376
11,1,155,9216,CPU,169.9051513671875,165.23287,2.8276948570750537
11,1,155,9216,CPU,169.9051513671875,161.85187,4.97571104194688
11,1,155,9216,GPU,41.519676208496094,36.65487,13.271923235564852
11,1,155,9216,GPU,41.519676208496094,37.67887,10.193528119330782
11,1,155,9216,GPU,41.519676208496094,37.67887,10.193528119330782
11,1,155,9216,GPU,41.519676208496094,37.67887,10.193528119330782
11,1,155,9216,GPU,41.519676208496094,37.67887,10.193528119330782
11,1,155,9216,GPU,41.519676208496094,37.67887,10.193528119330782
11,1,155,9216,GPU,41.519676208496094,37.67887,10.193528119330782
11,1,155,9216,GPU,41.519676208496094,37.67887,10.193528119330782
11,1,155,9216,GPU,41.519676208496094,37.67887,10.193528119330782
11,1,169,9984,CPU,177.3304901123047,170.59663,3.947240993157182
11,1,169,9984,CPU,177.3304901123047,168.84463,5.025839502449496
11,1,169,9984,CPU,177.3304901123047,178.50263,-0.6566513264792362
11,1,169,9984,CPU,177.3304901123047,171.11863,3.630148343464818
11,1,169,9984,CPU,177.3304901123047,172.77163,2.63866244261555
11,1,169,9984,CPU,177.3304901123047,170.05963,4.275476850269926
11,1,169,9984,CPU,177.3304901123047,173.54163,2.1832571886668863
11,1,169,9984,CPU,177.3304901123047,173.82663,2.015721131051493
11,1,169,9984,CPU,177.3304901123047,169.88263,4.384121032447332
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,169,9984,GPU,42.14852523803711,38.06063,10.740482325271824
11,1,250,14600,CPU,218.90127563476562,229.1582,-4.475914178604287
11,1,250,14600,CPU,218.90127563476562,245.5052,-10.836399540716195
11,1,250,14600,CPU,218.90127563476562,229.4202,-4.585003572150303
11,1,250,14600,CPU,218.90127563476562,233.2762,-6.162190727229938
11,1,250,14600,CPU,218.90127563476562,236.0222,-7.253946605545739
11,1,250,14600,CPU,218.90127563476562,231.9062,-5.607838154061593
11,1,250,14600,CPU,218.90127563476562,225.5172,-2.933667305746248
11,1,250,14600,CPU,218.90127563476562,226.4192,-3.3203563855160536
11,1,250,14600,CPU,218.90127563476562,225.3112,-2.844920432377258
11,1,250,14600,GPU,45.9451789855957,41.3792,11.034478640465997
11,1,250,14600,GPU,45.9451789855957,41.3792,11.034478640465997
11,1,250,14600,GPU,45.9451789855957,40.3552,13.851942217101387
11,1,250,14600,GPU,45.9451789855957,40.3552,13.851942217101387
11,1,250,14600,GPU,45.9451789855957,41.3792,11.034478640465997
11,1,250,14600,GPU,45.9451789855957,40.3552,13.851942217101387
11,1,250,14600,GPU,45.9451789855957,40.3552,13.851942217101387
11,1,250,14600,GPU,45.9451789855957,40.3552,13.851942217101387
11,1,250,14600,GPU,45.9451789855957,40.3552,13.851942217101387
11,3,32,4352,CPU,111.9583740234375,86.33602,29.677478789776846
11,3,32,4352,CPU,111.9583740234375,83.67002,33.8094266302763
11,3,32,4352,CPU,111.9583740234375,87.55102,27.877863699860388
11,3,32,4352,CPU,111.9583740234375,83.54402,34.011236260162605
11,3,32,4352,CPU,111.9583740234375,84.29502,32.81730524939375
11,3,32,4352,CPU,111.9583740234375,88.10502,27.073774029490604
11,3,32,4352,CPU,111.9583740234375,85.00702,31.704856873511744
11,3,32,4352,CPU,111.9583740234375,86.12002,30.002726454821428
11,3,32,4352,CPU,111.9583740234375,85.82802,30.445015536228738
11,3,32,4352,GPU,44.174556732177734,38.33302,15.238916036820832
11,3,32,4352,GPU,44.174556732177734,37.30902,18.401814714451728
11,3,32,4352,GPU,44.174556732177734,37.30902,18.401814714451728
11,3,32,4352,GPU,44.174556732177734,38.33302,15.238916036820832
11,3,32,4352,GPU,44.174556732177734,37.30902,18.401814714451728
11,3,32,4352,GPU,44.174556732177734,38.33302,15.238916036820832
11,3,32,4352,GPU,44.174556732177734,37.30902,18.401814714451728
11,3,32,4352,GPU,44.174556732177734,37.30902,18.401814714451728
11,3,32,4352,GPU,44.174556732177734,37.30902,18.401814714451728
11,3,250,33816,CPU,380.05157470703125,339.23529,12.031851022053521
11,3,250,33816,CPU,380.05157470703125,341.25629,11.36837205463122
11,3,250,33816,CPU,380.05157470703125,340.94429,11.47028586606663
11,3,250,33816,CPU,380.05157470703125,348.37729,9.091948762512974
11,3,250,33816,CPU,380.05157470703125,346.87829,9.563378759458038
11,3,250,33816,CPU,380.05157470703125,349.99229,8.58855625277666
11,3,250,33816,CPU,380.05157470703125,346.18829,9.781753365208065
11,3,250,33816,CPU,380.05157470703125,348.17129,9.156494410274682
11,3,250,33816,CPU,380.05157470703125,343.01229,10.798238368377774
11,3,250,33816,GPU,68.39936065673828,59.12329,15.689368194392234
11,3,250,33816,GPU,68.39936065673828,59.12329,15.689368194392234
11,3,250,33816,GPU,68.39936065673828,59.12329,15.689368194392234
11,3,250,33816,GPU,68.39936065673828,60.14729,13.71977134254641
11,3,250,33816,GPU,68.39936065673828,59.12329,15.689368194392234
11,3,250,33816,GPU,68.39936065673828,59.12329,15.689368194392234
11,3,250,33816,GPU,68.39936065673828,59.12329,15.689368194392234
11,3,250,33816,GPU,68.39936065673828,59.12329,15.689368194392234
11,3,250,33816,GPU,68.39936065673828,60.14729,13.71977134254641
13,4,125,23040,CPU,275.5972900390625,243.62564,13.123269799953114
13,4,125,23040,CPU,275.5972900390625,241.96564,13.899349527090909
13,4,125,23040,CPU,275.5972900390625,249.78064,10.335728997676718
13,4,125,23040,CPU,275.5972900390625,246.75764,11.687439561775063
13,4,125,23040,CPU,275.5972900390625,248.14264,11.064059783946242
13,4,125,23040,CPU,275.5972900390625,243.68264,13.09680904600447
13,4,125,23040,CPU,275.5972900390625,243.10264,13.366638074791162
13,4,125,23040,CPU,275.5972900390625,245.58664,12.219984783806852
13,4,125,23040,CPU,275.5972900390625,245.74464,12.147833637007299
13,4,125,23040,GPU,60.719635009765625,47.62264,27.501614798687406
13,4,125,23040,GPU,60.719635009765625,44.55064,36.29351903758425
13,4,125,23040,GPU,60.719635009765625,43.52664,39.49993615350421
13,4,125,23040,GPU,60.719635009765625,43.52664,39.49993615350421
13,4,125,23040,GPU,60.719635009765625,43.52664,39.49993615350421
13,4,125,23040,GPU,60.719635009765625,43.52664,39.49993615350421
13,4,125,23040,GPU,60.719635009765625,55.81464,8.788007966665427
13,4,125,23040,GPU,60.719635009765625,54.79064,10.82118224894913
